"week","requirement_cluster","review_dataset","count"
"2021-09",1,"foodpanda",88
"2021-09",1,"zomato",3
"2021-09",2,"foodpanda",2
"2021-09",5,"foodpanda",11
"2021-09",6,"foodpanda",9
"2021-09",9,"foodpanda",6
"2021-09",10,"foodpanda",5
"2021-09",11,"foodpanda",11
"2021-09",13,"foodpanda",4
"2021-09",14,"foodpanda",34
"2021-09",14,"zomato",1
"2021-09",17,"foodpanda",3
"2021-09",17,"zomato",3
"2021-09",18,"foodpanda",16
"2021-09",20,"foodpanda",4
"2021-09",22,"foodpanda",7
"2021-09",23,"foodpanda",84
"2021-09",23,"zomato",4
"2021-09",24,"foodpanda",2
"2021-09",26,"foodpanda",2
"2021-09",27,"foodpanda",19
"2021-09",32,"foodpanda",64
"2021-09",32,"zomato",2
"2021-09",35,"foodpanda",4
"2021-09",36,"foodpanda",12
"2021-09",37,"foodpanda",1
"2021-09",40,"foodpanda",12
"2021-09",42,"foodpanda",3
"2021-09",44,"foodpanda",1
"2021-09",48,"foodpanda",17
"2021-09",51,"foodpanda",4
"2021-09",53,"foodpanda",6
"2021-09",54,"foodpanda",3
"2021-09",55,"foodpanda",1
"2021-09",56,"foodpanda",3
"2021-09",57,"foodpanda",1
"2021-09",59,"foodpanda",34
"2021-09",60,"foodpanda",1
"2021-09",62,"foodpanda",6
"2021-09",63,"foodpanda",11
"2021-09",67,"foodpanda",11
"2021-09",68,"foodpanda",1
"2021-09",69,"foodpanda",23
"2021-09",71,"foodpanda",31
"2021-09",72,"foodpanda",8
"2021-09",73,"foodpanda",5
"2021-09",74,"foodpanda",7
"2021-09",76,"foodpanda",7
"2021-09",77,"foodpanda",18
"2021-09",78,"foodpanda",6
"2021-09",81,"foodpanda",7
"2021-09",82,"foodpanda",1
"2021-09",84,"foodpanda",290
"2021-09",84,"zomato",11
"2021-09",85,"foodpanda",3
"2021-09",87,"foodpanda",5
"2021-09",88,"foodpanda",39
"2021-09",90,"foodpanda",14
"2021-09",92,"foodpanda",12
"2021-09",92,"zomato",4
"2021-09",95,"foodpanda",12
"2021-09",96,"foodpanda",11
"2021-09",97,"foodpanda",23
"2021-09",99,"foodpanda",3
"2021-09",100,"foodpanda",4
"2021-09",101,"foodpanda",2
"2021-09",104,"foodpanda",19
"2021-09",104,"zomato",1
"2021-09",105,"foodpanda",24
"2021-09",106,"foodpanda",14
"2021-09",111,"foodpanda",6
"2021-09",111,"zomato",3
"2021-09",114,"foodpanda",2
"2021-09",115,"foodpanda",7
"2021-09",116,"foodpanda",4
"2021-09",117,"foodpanda",2
"2021-09",118,"foodpanda",1
"2021-09",121,"foodpanda",8
"2021-09",123,"foodpanda",3
"2021-09",126,"foodpanda",30
"2021-09",126,"zomato",1
"2021-09",128,"foodpanda",4
"2021-09",129,"foodpanda",8
"2021-09",130,"foodpanda",8
"2021-09",131,"foodpanda",2
"2021-09",132,"foodpanda",13
"2021-09",134,"foodpanda",3
"2021-09",135,"foodpanda",5
"2021-09",137,"foodpanda",6
"2021-09",139,"foodpanda",22
"2021-09",140,"foodpanda",2
"2021-09",142,"foodpanda",4
"2021-09",144,"foodpanda",2
"2021-09",146,"foodpanda",1
"2021-09",149,"foodpanda",2
"2021-09",153,"foodpanda",330
"2021-09",153,"zomato",17
"2021-09",155,"foodpanda",6
"2021-09",156,"foodpanda",11
"2021-09",157,"foodpanda",10
"2021-09",157,"zomato",1
"2021-09",158,"foodpanda",8
"2021-09",160,"foodpanda",10
"2021-09",161,"foodpanda",4
"2021-09",163,"foodpanda",20
"2021-09",165,"foodpanda",33
"2021-09",165,"zomato",1
"2021-09",166,"foodpanda",12
"2021-09",168,"foodpanda",19
"2021-09",169,"foodpanda",2
"2021-09",174,"foodpanda",11
"2021-09",177,"foodpanda",26
"2021-09",177,"zomato",6
"2021-09",179,"foodpanda",7
"2021-09",180,"foodpanda",10
"2021-09",181,"foodpanda",12
"2021-09",185,"foodpanda",3
"2021-09",190,"foodpanda",95
"2021-09",191,"foodpanda",33
"2021-09",193,"foodpanda",7
"2021-09",193,"zomato",1
"2021-09",197,"foodpanda",2
"2021-09",198,"foodpanda",29
"2021-09",198,"zomato",2
"2021-09",200,"foodpanda",1
"2021-09",203,"foodpanda",68
"2021-09",205,"foodpanda",12
"2021-09",206,"foodpanda",1
"2021-09",207,"foodpanda",6
"2021-09",211,"foodpanda",12
"2021-09",211,"zomato",2
"2021-09",213,"foodpanda",5
"2021-09",216,"foodpanda",2
"2021-09",219,"foodpanda",4
"2021-09",221,"foodpanda",9
"2021-09",222,"foodpanda",18
"2021-09",225,"foodpanda",8
"2021-09",226,"foodpanda",29
"2021-09",226,"zomato",1
"2021-09",227,"foodpanda",2
"2021-09",228,"zomato",4
"2021-09",230,"foodpanda",1
"2021-09",232,"foodpanda",9
"2021-09",234,"foodpanda",3
"2021-09",235,"foodpanda",6
"2021-09",235,"zomato",9
"2021-09",236,"foodpanda",6
"2021-09",237,"foodpanda",3
"2021-09",238,"foodpanda",7
"2021-09",239,"foodpanda",1
"2021-09",241,"foodpanda",18
"2021-09",244,"foodpanda",12
"2021-09",245,"foodpanda",9
"2021-09",246,"foodpanda",23
"2021-09",247,"foodpanda",2
"2021-09",248,"foodpanda",3
"2021-09",249,"foodpanda",10
"2021-09",250,"foodpanda",5
"2021-09",252,"foodpanda",1652
"2021-09",252,"zomato",60
"2021-09",255,"foodpanda",22
"2021-09",259,"foodpanda",1
"2021-09",261,"foodpanda",25
"2021-09",264,"foodpanda",2
"2021-09",265,"foodpanda",4
"2021-09",266,"foodpanda",6
"2021-09",269,"foodpanda",5
"2021-09",270,"foodpanda",5
"2021-09",271,"foodpanda",9
"2021-09",273,"foodpanda",100
"2021-09",273,"zomato",6
"2021-09",274,"foodpanda",4
"2021-09",277,"foodpanda",1
"2021-09",279,"foodpanda",19
"2021-09",279,"zomato",4
"2021-09",283,"foodpanda",66
"2021-09",286,"foodpanda",2
"2021-09",286,"zomato",1
"2021-09",288,"foodpanda",4
"2021-09",289,"foodpanda",7
"2021-09",290,"foodpanda",8
"2021-09",291,"foodpanda",27
"2021-09",299,"foodpanda",15
"2021-08",0,"foodpanda",2
"2021-08",0,"zomato",1
"2021-08",1,"foodpanda",1481
"2021-08",1,"ubereats",4963
"2021-08",1,"zomato",2428
"2021-08",2,"foodpanda",96
"2021-08",2,"ubereats",438
"2021-08",2,"zomato",228
"2021-08",3,"foodpanda",8
"2021-08",4,"foodpanda",29
"2021-08",4,"ubereats",201
"2021-08",4,"zomato",109
"2021-08",5,"foodpanda",252
"2021-08",5,"ubereats",774
"2021-08",5,"zomato",570
"2021-08",6,"foodpanda",246
"2021-08",6,"ubereats",522
"2021-08",6,"zomato",221
"2021-08",7,"foodpanda",2
"2021-08",8,"foodpanda",3
"2021-08",8,"ubereats",3
"2021-08",8,"zomato",2
"2021-08",9,"foodpanda",35
"2021-08",9,"ubereats",161
"2021-08",9,"zomato",25
"2021-08",10,"foodpanda",66
"2021-08",10,"ubereats",280
"2021-08",10,"zomato",63
"2021-08",11,"foodpanda",84
"2021-08",11,"ubereats",129
"2021-08",11,"zomato",34
"2021-08",13,"foodpanda",35
"2021-08",13,"ubereats",88
"2021-08",13,"zomato",98
"2021-08",14,"foodpanda",442
"2021-08",14,"ubereats",1217
"2021-08",14,"zomato",702
"2021-08",15,"foodpanda",22
"2021-08",15,"ubereats",26
"2021-08",15,"zomato",29
"2021-08",16,"foodpanda",6
"2021-08",16,"ubereats",89
"2021-08",16,"zomato",45
"2021-08",17,"foodpanda",133
"2021-08",17,"ubereats",505
"2021-08",17,"zomato",203
"2021-08",18,"foodpanda",223
"2021-08",18,"ubereats",32
"2021-08",18,"zomato",54
"2021-08",19,"foodpanda",5
"2021-08",19,"ubereats",5
"2021-08",19,"zomato",5
"2021-08",20,"foodpanda",155
"2021-08",20,"ubereats",655
"2021-08",20,"zomato",265
"2021-08",21,"foodpanda",52
"2021-08",21,"ubereats",146
"2021-08",21,"zomato",153
"2021-08",22,"foodpanda",67
"2021-08",22,"ubereats",124
"2021-08",22,"zomato",89
"2021-08",23,"foodpanda",1352
"2021-08",23,"ubereats",4621
"2021-08",23,"zomato",2750
"2021-08",24,"foodpanda",31
"2021-08",24,"ubereats",176
"2021-08",24,"zomato",46
"2021-08",25,"foodpanda",2
"2021-08",25,"ubereats",2
"2021-08",25,"zomato",2
"2021-08",26,"foodpanda",66
"2021-08",26,"ubereats",155
"2021-08",26,"zomato",21
"2021-08",27,"foodpanda",94
"2021-08",27,"ubereats",613
"2021-08",27,"zomato",240
"2021-08",28,"foodpanda",9
"2021-08",28,"ubereats",47
"2021-08",28,"zomato",19
"2021-08",29,"foodpanda",29
"2021-08",29,"ubereats",191
"2021-08",29,"zomato",71
"2021-08",30,"foodpanda",5
"2021-08",31,"foodpanda",22
"2021-08",31,"ubereats",60
"2021-08",31,"zomato",69
"2021-08",32,"foodpanda",914
"2021-08",32,"ubereats",3622
"2021-08",32,"zomato",1943
"2021-08",33,"foodpanda",15
"2021-08",33,"ubereats",55
"2021-08",33,"zomato",56
"2021-08",34,"foodpanda",46
"2021-08",34,"ubereats",129
"2021-08",34,"zomato",26
"2021-08",35,"foodpanda",5
"2021-08",35,"ubereats",11
"2021-08",35,"zomato",4
